ticker,name,market,krx_sector,internal_sector,sector_group,source,asof,is_manual,notes
008060,대덕,KOSPI,,unknown,unknown,unknown,,false,
008770,호텔신라,KOSPI,,unknown,unknown,unknown,,false,
008930,한미사이언스,KOSPI,,unknown,unknown,unknown,,false,
009150,삼성전기,KOSPI,,unknown,unknown,unknown,,false,
009240,한샘,KOSPI,,unknown,unknown,unknown,,false,
009420,한올바이오파마,KOSPI,,unknown,unknown,unknown,,false,
009450,경동나비엔,KOSPI,,unknown,unknown,unknown,,false,
009540,HD한국조선해양,KOSPI,,unknown,unknown,unknown,,false,
009830,한화솔루션,KOSPI,,unknown,unknown,unknown,,false,
009970,영원무역홀딩스,KOSPI,,holding,holding,name_inference,,false,
010060,OCI홀딩스,KOSPI,,holding,holding,name_inference,,false,
010120,LS ELECTRIC,KOSPI,,unknown,unknown,unknown,,false,
010130,고려아연,KOSPI,,unknown,unknown,unknown,,false,auto_template
010140,삼성중공업,KOSPI,,unknown,unknown,unknown,,false,
010780,아이에스동서,KOSPI,,unknown,unknown,unknown,,false,
010950,S-Oil,KOSPI,,energy,energy,name_inference,,false,
011070,LG이노텍,KOSPI,,unknown,unknown,unknown,,false,
011170,롯데케미칼,KOSPI,,unknown,unknown,unknown,,false,
011200,HMM,KOSPI,,unknown,unknown,unknown,,false,
011210,현대위아,KOSPI,,unknown,unknown,unknown,,false,
011780,금호석유화학,KOSPI,,industrial,industrial,name_inference,,false,
011790,SKC,KOSPI,,unknown,unknown,unknown,,false,
012330,현대모비스,KOSPI,,auto,auto,name_inference,,false,
012450,한화에어로스페이스,KOSPI,,unknown,unknown,unknown,,false,
012510,더존비즈온,KOSPI,,unknown,unknown,unknown,,false,
012630,HDC,KOSPI,,unknown,unknown,unknown,,false,
0126Z0,삼성에피스홀딩스,KOSPI,,holding,holding,name_inference,,false,
012750,에스원,KOSPI,,unknown,unknown,unknown,,false,
014680,한솔케미칼,KOSPI,,unknown,unknown,unknown,,false,
015760,한국전력,KOSPI,전기가스,전력/유틸리티,utilities,manual,2026-07-06,true,top10_unknown_fix
016360,삼성증권,KOSPI,금융업,증권/금융지주,financial,manual,2026-07-02,true,alpha_shortlist
017670,SK텔레콤,KOSPI,,unknown,unknown,unknown,,false,
017800,현대엘리베이터,KOSPI,,financial,financial,name_inference,,false,
017960,한국카본,KOSPI,,unknown,unknown,unknown,,false,
018260,삼성에스디에스,KOSPI,,unknown,unknown,unknown,,false,
018670,SK가스,KOSPI,,unknown,unknown,unknown,,false,
018880,한온시스템,KOSPI,,unknown,unknown,unknown,,false,
020150,롯데에너지머티리얼즈,KOSPI,,financial,financial,name_inference,,false,
020560,아시아나항공,KOSPI,,transport,transport,name_inference,,false,
021240,코웨이,KOSPI,서비스업,렌탈/생활소비재,consumer_quality,manual,2026-07-02,true,current_holding
022100,포스코DX,KOSPI,,unknown,unknown,unknown,,false,
023530,롯데쇼핑,KOSPI,,unknown,unknown,unknown,,false,
023590,다우기술,KOSPI,서비스업,IT서비스/소프트웨어,it_services,manual,2026-07-06,true,top10_unknown_fix
024110,기업은행,KOSPI,,financial,financial,name_inference,,false,
025540,한국단자,KOSPI,전기전자,전자부품/커넥터,electronic_components,manual,2026-07-06,true,top10_unknown_fix
026960,동서,KOSPI,,unknown,unknown,unknown,,false,
028050,삼성E&A,KOSPI,,unknown,unknown,unknown,,false,
028260,삼성물산,KOSPI,,unknown,unknown,unknown,,false,
028670,팬오션,KOSPI,운수창고,해운,industrial_transport,manual,2026-07-02,true,alpha_shortlist
029780,삼성카드,KOSPI,,financial,financial,name_inference,,false,
030000,제일기획,KOSPI,,unknown,unknown,unknown,,false,
030190,NICE평가정보,KOSPI,서비스업,신용평가/데이터서비스,financial_data,manual,2026-07-02,true,legacy_holding
030200,KT,KOSPI,통신업,통신/인프라,defensive_telecom,manual,2026-07-02,true,current_holding
031210,서울보증보험,KOSPI,,financial,financial,name_inference,,false,
032350,롯데관광개발,KOSPI,,unknown,unknown,unknown,,false,
