ticker,period_end,report_date,usable_from_date,roe,roa,operating_margin,gross_profitability,debt_ratio,interest_coverage,per,pbr,pcr,psr,ev_ebitda,dividend_yield,fcf,operating_cash_flow,net_income,earnings_yoy
012170,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.6,,,,,,,,
267850,2026-12-31,2026-06-17,2026-06-17,7.25,,,,,,8.46,0.61,,,,5.19,,,1138.0,
020560,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,2.14,,,,,,,,
122900,2026-12-31,2026-06-17,2026-06-17,5.66,,,,,,11.64,0.66,,,,5.81,,,666.0,
010780,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.6,,,,1.98,,,,
031820,2026-12-31,2026-06-17,2026-06-17,23.04,,,,,,1.36,0.31,,,,,,,4360.0,
139990,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.64,,,,,,,,
009320,2026-12-31,2026-06-17,2026-06-17,13.02,,,,,,10.91,1.42,,,,,,,88.0,
001780,2026-12-31,2026-06-17,2026-06-17,4.75,,,,,,13.0,0.62,,,,,,,160.0,
018250,2026-12-31,2026-06-17,2026-06-17,3.81,,,,,,20.28,0.77,,,,1.63,,,604.0,
161000,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.73,,,,1.29,,,,
011090,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.49,,,,,,,,
137310,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.37,,,,2.77,,,,
005850,2026-12-31,2026-06-17,2026-06-17,12.18,,,,,,10.83,1.32,,,,3.79,,,6749.0,
010580,2026-12-31,2026-06-17,2026-06-17,2.38,,,,,,129.07,3.07,,,,,,,15.0,
012750,2026-12-31,2026-06-17,2026-06-17,10.17,,,,,,13.97,1.42,,,,4.34,,,5281.0,
023960,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.88,,,,,,,,
298690,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.27,,,,,,,,
078520,2026-12-31,2026-06-17,2026-06-17,15.88,,,,,,19.84,3.15,,,,4.02,,,548.0,
015260,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.32,,,,,,,,
007460,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.4,,,,,,,,
003060,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.15,,,,,,,,
244920,2026-12-31,2026-06-17,2026-06-17,13.04,,,,,,10.93,1.43,,,,2.8,,,979.0,
278470,2026-12-31,2026-06-17,2026-06-17,65.2,,,,,,52.61,34.3,,,,1.25,,,7765.0,
450080,2026-12-31,2026-06-17,2026-06-17,2.28,,,,,,164.35,3.75,,,,,,,345.0,
019490,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,3.34,,,,,,,,
085310,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.44,,,,0.98,,,,
066970,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,8.04,,,,,,,,
097520,2026-12-31,2026-06-17,2026-06-17,13.22,,,,,,6.85,0.91,,,,4.64,,,3145.0,
484870,2026-12-31,2026-06-17,2026-06-17,23.41,,,,,,18.86,4.41,,,,2.65,,,4980.0,
014440,2026-12-31,2026-06-17,2026-06-17,8.8,,,,,,5.3,0.47,,,,7.65,,,863.0,
111770,2026-12-31,2026-06-17,2026-06-17,12.02,,,,,,6.9,0.83,,,,2.63,,,11558.0,
009970,2026-12-31,2026-06-17,2026-06-17,12.19,,,,,,5.83,0.71,,,,3.56,,,31684.0,
003520,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,2.57,,,,,,,,
000670,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.25,,,,0.01,,,,
012280,2026-12-31,2026-06-17,2026-06-17,14.88,,,,,,3.45,0.51,,,,4.14,,,245.0,
012160,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.19,,,,,,,,
007310,2026-12-31,2026-06-17,2026-06-17,3.36,,,,,,16.32,0.55,,,,2.72,,,20279.0,
002630,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.78,,,,,,,,
271560,2026-12-31,2026-06-17,2026-06-17,10.05,,,,,,13.95,1.4,,,,2.59,,,9682.0,
001800,2026-12-31,2026-06-17,2026-06-17,4.91,,,,,,13.13,0.64,,,,4.17,,,2011.0,
005320,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.39,,,,,,,,
011690,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.67,,,,,,,,
316140,2026-12-31,2026-06-17,2026-06-17,8.26,,,,,,7.93,0.66,,,,4.23,,,4052.0,
006980,2026-12-31,2026-06-17,2026-06-17,6.09,,,,,,3.55,0.22,,,,7.26,,,5039.0,
011300,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.27,,,,,,,,
017370,2026-12-31,2026-06-17,2026-06-17,8.99,,,,,,4.79,0.43,,,,0.64,,,985.0,
105840,2026-12-31,2026-06-17,2026-06-17,4.48,,,,,,45.46,2.04,,,,1.5,,,441.0,
010400,2026-12-31,2026-06-17,2026-06-17,9.41,,,,,,3.36,0.32,,,,3.96,,,1127.0,
049800,2026-12-31,2026-06-17,2026-06-17,2.08,,,,,,17.1,0.35,,,,2.57,,,114.0,
016880,2026-12-31,2026-06-17,2026-06-17,67.89,,,,,,1.45,0.99,,,,,,,1554.0,
095720,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.29,,,,12.58,,,,
005820,2026-12-31,2026-06-17,2026-06-17,2.94,,,,,,7.83,0.23,,,,3.24,,,1812.0,
