date,ticker,name,foreign_net_value,institution_net_value,retail_net_value,program_net_value,foreign_5d_sum,institution_5d_sum,foreign_20d_sum,institution_20d_sum,foreign_5d_mcap_pct,institution_5d_mcap_pct,foreign_20d_mcap_pct,institution_20d_mcap_pct,flow_score,flow_signal,source,staleness_days
2026-07-07,035760,CJ ENM,0.0,0.0,0.0,0.0,-581737275.0,-163243700.0,-6030806050.0,231798225.0,-0.08063231277664971,-0.02262656639497198,-0.835906276968261,0.03212863913400121,20.0,DISTRIBUTION,auto_pykrx,0.0
2026-07-03,035890,서희건설,-120045280.0,-3258755.0,-88246977.0,780607.0,-1657129848.0,1049181152.0,-2219826194.0,-26120021.0,-0.31906715059455854,0.20201147244446735,-0.4274098492580792,-0.005029201956623034,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-02,036460,한국가스공사,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,036530,SNT홀딩스,0.0,0.0,0.0,0.0,-188323600.0,615384125.0,-3227760950.0,1102340100.0,-0.02310168262952771,0.0754892575917177,-0.395949891946006,0.1352242158709893,20.0,DISTRIBUTION,cache_stale,2
2026-07-06,036570,NC,0.0,0.0,0.0,0.0,14051638000.0,27849625500.0,14772169250.0,61472601500.0,0.2547769907471316,0.5049549225737655,0.26784128856168316,1.1145892331959883,80.0,ACCUMULATION,cache_stale,2.0
2026-07-03,036830,솔브레인홀딩스,-281923450.0,221030875.0,73733175.0,417100.0,-1164901475.0,646140325.0,503011850.0,-5044499100.0,-0.1552279489188244,0.08610087592471509,0.06702841350369428,-0.6722004095804375,20.0,DISTRIBUTION,cache_stale,1.0
2026-07-03,037350,성도이엔지,-268214975.0,-27367275.0,308736640.0,1097840.0,-3146008355.0,-238874670.0,-5807308240.0,-187394035.0,-2.130156088025453,-0.1617415706372373,-3.9321170214998937,-0.1268841336293606,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-09,037460,삼지전자,0.0,0.0,0.0,0.0,-3292313775.0,1461403875.0,3438083000.0,6313623275.0,-0.5951421362944381,0.26417379496474935,0.6214924218083044,1.1412956055932995,20.0,DISTRIBUTION,cache_stale,1
2026-07-03,037710,광주신세계,898045500.0,-125648400.0,-851208050.0,46975100.0,-6264501550.0,-2219537000.0,-4656897500.0,-1854794775.0,-2.0180344300935786,-0.7149973623785936,-1.5001639663440918,-0.5975000064781966,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-02,039130,하나투어,,,,,,,,,,,,,0.0,STALE,template,999.0
