ticker,name,market,sector,listing_date,is_etf,is_spac,is_managed,is_halted,as_of
009440,KC그린홀딩스,KOSPI,,,false,false,false,false,2026-07-19
119650,KC코트렐,KOSPI,,,false,false,false,false,2026-07-19
092220,KEC,KOSPI,,,false,false,false,false,2026-07-19
003620,KG모빌리티,KOSPI,,,false,false,false,false,2026-07-19
016380,KG스틸,KOSPI,,,false,false,false,false,2026-07-19
001390,KG케미칼,KOSPI,,,false,false,false,false,2026-07-19
001940,KISCO홀딩스,KOSPI,,,false,false,false,false,2026-07-19
025000,KPX케미칼,KOSPI,,,false,false,false,false,2026-07-19
092230,KPX홀딩스,KOSPI,,,false,false,false,false,2026-07-19
000040,KR모터스,KOSPI,,,false,false,false,false,2026-07-19
044450,KSS해운,KOSPI,,,false,false,false,false,2026-07-19
030200,KT,KOSPI,,,false,false,false,false,2026-07-19
033780,KT&G,KOSPI,,,false,false,false,false,2026-07-19
058850,KTcs,KOSPI,,,false,false,false,false,2026-07-19
058860,KTis,KOSPI,,,false,false,false,false,2026-07-19
093050,LF,KOSPI,,,false,false,false,false,2026-07-19
003550,LG,KOSPI,,,false,false,false,false,2026-07-19
034220,LG디스플레이,KOSPI,,,false,false,false,false,2026-07-19
051900,LG생활건강,KOSPI,,,false,false,false,false,2026-07-19
051905,LG생활건강우,KOSPI,,,false,false,false,false,2026-07-19
064400,LG씨엔에스,KOSPI,,,false,false,false,false,2026-07-19
373220,LG에너지솔루션,KOSPI,,,false,false,false,false,2026-07-19
003555,LG우,KOSPI,,,false,false,false,false,2026-07-19
032640,LG유플러스,KOSPI,,,false,false,false,false,2026-07-19
011070,LG이노텍,KOSPI,,,false,false,false,false,2026-07-19
066570,LG전자,KOSPI,,,false,false,false,false,2026-07-19
066575,LG전자우,KOSPI,,,false,false,false,false,2026-07-19
037560,LG헬로비전,KOSPI,,,false,false,false,false,2026-07-19
051910,LG화학,KOSPI,,,false,false,false,false,2026-07-19
051915,LG화학우,KOSPI,,,false,false,false,false,2026-07-19
079550,LIG디펜스앤에어로스페이스,KOSPI,,,false,false,false,false,2026-07-19
006260,LS,KOSPI,,,false,false,false,false,2026-07-19
010120,LS ELECTRIC,KOSPI,,,false,false,false,false,2026-07-19
000680,LS네트웍스,KOSPI,,,false,false,false,false,2026-07-19
229640,LS에코에너지,KOSPI,,,false,false,false,false,2026-07-19
108320,LX세미콘,KOSPI,,,false,false,false,false,2026-07-19
001120,LX인터내셔널,KOSPI,,,false,false,false,false,2026-07-19
108670,LX하우시스,KOSPI,,,false,false,false,false,2026-07-19
108675,LX하우시스우,KOSPI,,,false,false,false,false,2026-07-19
383800,LX홀딩스,KOSPI,,,false,false,false,false,2026-07-19
38380K,LX홀딩스1우,KOSPI,,,false,false,false,false,2026-07-19
023150,MH에탄올,KOSPI,,,false,false,false,false,2026-07-19
035420,NAVER,KOSPI,,,false,false,false,false,2026-07-19
036570,NC,KOSPI,,,false,false,false,false,2026-07-19
181710,NHN,KOSPI,,,false,false,false,false,2026-07-19
400760,NH올원리츠,KOSPI,,,false,false,false,false,2026-07-19
005940,NH투자증권,KOSPI,,,false,false,false,false,2026-07-19
005945,NH투자증권우,KOSPI,,,false,false,false,false,2026-07-19
338100,NH프라임리츠,KOSPI,,,false,false,false,false,2026-07-19
034310,NICE,KOSPI,,,false,false,false,false,2026-07-19
030190,NICE평가정보,KOSPI,,,false,false,false,false,2026-07-19
008260,NI스틸,KOSPI,,,false,false,false,false,2026-07-19
004250,NPC,KOSPI,,,false,false,false,false,2026-07-19
004255,NPC우,KOSPI,,,false,false,false,false,2026-07-19
456040,OCI,KOSPI,,,false,false,false,false,2026-07-19
010060,OCI홀딩스,KOSPI,,,false,false,false,false,2026-07-19
178920,PI첨단소재,KOSPI,,,false,false,false,false,2026-07-19
001340,PKC,KOSPI,,,false,false,false,false,2026-07-19
005490,POSCO홀딩스,KOSPI,,,false,false,false,false,2026-07-19
010950,S-Oil,KOSPI,,,false,false,false,false,2026-07-19
010955,S-Oil우,KOSPI,,,false,false,false,false,2026-07-19
034120,SBS,KOSPI,,,false,false,false,false,2026-07-19
003080,SB성보,KOSPI,,,false,false,false,false,2026-07-19
005090,SGC에너지,KOSPI,,,false,false,false,false,2026-07-19
001380,SG글로벌,KOSPI,,,false,false,false,false,2026-07-19
