ticker,as_of,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200
011790,2026-07-19,85200.0,4225774989600.0,179133,15262131600.0,36063308875.0,174100.0,82714.0,-0.1131,77.05,
012330,2026-07-19,482000.0,43733105006000.0,270493,130377626000.0,223587641537.5,768000.0,283500.0,0.2065,65.99,
012450,2026-07-19,943000.0,48624287143000.0,142859,134716037000.0,244773100905.25,1537000.0,805000.0,-0.2232,60.14,
012510,2026-07-19,120000.0,3494865960000.0,0,0.0,631674795.0,120300.0,64200.0,0.3043,44.11,
0126Z0,2026-07-19,396000.0,9853687404000.0,32924,13037904000.0,26940526962.5,743000.0,335500.0,-0.4244,85.86,
015760,2026-07-19,34050.0,21858876821850.0,1847121,62894470050.0,76577494595.0,67900.0,33900.0,-0.3107,54.81,
016360,2026-07-19,107700.0,9617610000000.0,295251,31798532700.0,59247443245.0,149500.0,66900.0,0.4005,61.06,
017670,2026-07-19,89700.0,19266667754100.0,1366866,122607880200.0,90617144732.5,125200.0,52100.0,0.6925,45.73,
018260,2026-07-19,199300.0,15421395540000.0,235615,46958069500.0,75597736575.0,362000.0,145900.0,0.154,68.72,
018880,2026-07-19,3490.0,3581656306480.0,3593633,12541779170.0,27044051192.55,5730.0,2800.0,0.2398,75.29,
021240,2026-07-19,96700.0,6843210094200.0,301055,29112018500.0,20974006413.1,113200.0,70900.0,0.2148,39.32,
022100,2026-07-19,18630.0,2832407001270.0,320502,5970952260.0,8779705586.75,42850.0,18630.0,-0.3113,74.24,
023530,2026-07-19,140800.0,3983056704000.0,165550,23309440000.0,24379284465.0,203500.0,64100.0,1.0555,53.71,
024110,2026-07-19,21600.0,17224398770400.0,1222545,26406972000.0,25470776782.5,28550.0,18650.0,0.0588,31.1,
028050,2026-07-19,40850.0,8006600000000.0,909762,37163777700.0,106889075382.5,64400.0,23250.0,0.6606,62.58,
028260,2026-07-19,346000.0,56109983026000.0,652157,225646322000.0,352302459594.8,535000.0,159000.0,0.2886,67.45,
028300,2026-07-19,35300.0,4701897271900.0,3528292,124548707600.0,45206763416.25,68200.0,25650.0,-0.3024,77.95,
029780,2026-07-19,47050.0,5451160821550.0,81429,3831234450.0,5142470903.75,67400.0,45200.0,-0.1004,31.13,
030190,2026-07-19,13940.0,821226686380.0,63392,883684480.0,1214415333.25,18200.0,13060.0,-0.1526,37.51,
030200,2026-07-19,52400.0,13205936294000.0,230794,12093605600.0,20744752408.3,68900.0,48250.0,0.0077,32.26,
032640,2026-07-19,14620.0,6205133441840.0,938459,13720270580.0,15301421064.4,17810.0,13900.0,0.0188,35.34,
032830,2026-07-19,331000.0,66200000000000.0,361459,119642929000.0,209476728282.65,497000.0,119700.0,1.0752,60.04,
033780,2026-07-19,179900.0,18675501034400.0,272181,48965361900.0,48782438310.05,189000.0,129100.0,0.2651,31.61,
034020,2026-07-19,69700.0,44647111876200.0,2541779,177161996300.0,263010540410.0,136400.0,57400.0,-0.1722,66.63,
034220,2026-07-19,10410.0,5205000000000.0,3502742,36463544220.0,55466616100.0,16690.0,9110.0,-0.1163,65.53,
034730,2026-07-19,580000.0,42051567740000.0,171338,99376040000.0,273616836183.75,858000.0,178900.0,1.0423,66.59,
035420,2026-07-19,190000.0,29819405980000.0,737459,140117210000.0,218185411317.5,287000.0,183200.0,-0.252,51.98,
035720,2026-07-19,35900.0,15903020413000.0,2666493,95727098700.0,65295634945.0,67700.0,33150.0,-0.3832,48.3,
036530,2026-07-19,52000.0,847802072000.0,22703,1180556000.0,746850158.75,88200.0,46450.0,-0.0226,50.24,
036570,2026-07-19,223000.0,4804316906000.0,86310,19247130000.0,26228514800.0,338000.0,187000.0,0.0,55.01,
036930,2026-07-19,187900.0,8733802635900.0,1145182,215179697800.0,497305570247.5,250500.0,26300.0,4.6257,106.77,
039030,2026-07-19,344000.0,4237925200000.0,118534,40775696000.0,82201600612.5,612000.0,185100.0,0.1115,87.76,
039490,2026-07-19,322000.0,8445517752000.0,61839,19912158000.0,39812362737.5,495500.0,195800.0,0.0222,68.84,
042660,2026-07-19,86700.0,26566041259800.0,2769110,240081837000.0,237213607337.5,149900.0,73900.0,-0.3549,70.54,
042700,2026-07-19,242500.0,23113208500000.0,1466330,355585025000.0,305072534592.5,409500.0,81500.0,0.3755,96.52,
047040,2026-07-19,15150.0,6225250715700.0,2794432,42335644800.0,115433432070.5,37150.0,3360.0,3.0186,97.25,
047050,2026-07-19,50900.0,8954469909200.0,477870,24323583000.0,25235073982.5,87300.0,45650.0,0.0452,54.3,
047810,2026-07-19,149200.0,14543285964400.0,335809,50102702800.0,67563832402.5,202000.0,85400.0,-0.004,60.54,
051900,2026-07-19,246500.0,3691466419500.0,37406,9220579000.0,13568436912.5,339000.0,215000.0,-0.0592,36.47,
051910,2026-07-19,260500.0,18389305351500.0,180510,47022855000.0,71403888725.0,429500.0,251500.0,-0.1664,61.32,
052690,2026-07-19,92700.0,3542994000000.0,84418,7825548600.0,16993470535.3,194800.0,83800.0,-0.0483,74.06,
055550,2026-07-19,107900.0,51215205551900.0,1463864,157950925600.0,154792493775.0,109200.0,64000.0,0.3869,37.99,
058470,2026-07-19,72300.0,5510116755000.0,431494,31197016200.0,93997164122.5,127000.0,44400.0,0.1531,66.73,
062040,2026-07-19,170000.0,5204694500000.0,197118,33510060000.0,68379660242.5,333500.0,86600.0,0.2574,80.94,
064350,2026-07-19,159000.0,17353624587000.0,534692,85016028000.0,103001875143.85,269000.0,159000.0,-0.274,65.5,
064400,2026-07-19,65000.0,6297586620000.0,713626,46385690000.0,96644579940.0,143700.0,55400.0,0.0815,72.8,
066570,2026-07-19,179000.0,29156350202000.0,1389002,248631358000.0,372534867622.5,392500.0,72200.0,1.009,84.71,
066970,2026-07-19,92000.0,3742769024000.0,242546,22314232000.0,41426322760.0,213000.0,51800.0,-0.1458,87.6,
067310,2026-07-19,35750.0,2376675229500.0,1557272,55672474000.0,105675996283.75,56800.0,10650.0,0.3241,84.97,
068270,2026-07-19,175800.0,40882941514800.0,498638,87660560400.0,113394551735.0,236861.0,159400.0,-0.1501,40.95,
069960,2026-07-19,157400.0,3394317148800.0,71162,11200898800.0,30471300515.0,207000.0,69000.0,0.7146,57.23,
