ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of
035420,NAVER,unknown,True,,50.83,71.25,50.0,13.33,10.81,53.0,53.0,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
000810,삼성화재,unknown,True,,50.83,70.21,50.0,31.94,68.35,54.55,54.55,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
009540,HD한국조선해양,unknown,True,,50.83,65.04,50.0,20.0,18.2,51.8,51.8,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
000150,두산,unknown,True,,50.83,12.51,50.0,28.11,45.47,36.85,36.85,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
042700,한미반도체,unknown,True,,50.83,13.82,50.0,26.14,51.43,37.05,37.05,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
005490,POSCO홀딩스,unknown,True,,50.83,65.69,50.0,17.3,23.11,51.73,51.73,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
006800,미래에셋증권,unknown,True,,50.83,62.21,50.0,21.09,48.82,51.06,51.06,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
011070,LG이노텍,unknown,True,,50.83,34.14,50.0,28.34,56.27,43.37,43.37,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
015760,한국전력,unknown,True,,50.83,89.99,50.0,16.53,3.73,58.94,58.94,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
010130,고려아연,unknown,True,,50.83,54.69,50.0,17.19,3.35,48.42,48.42,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
010140,삼성중공업,unknown,True,,50.83,38.99,50.0,23.78,17.42,44.37,44.37,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
316140,우리금융지주,unknown,True,,50.83,86.23,50.0,38.37,30.7,60.0,60.0,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
051910,LG화학,unknown,True,,50.83,66.62,50.0,21.76,6.71,52.45,52.45,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
064350,현대로템,unknown,True,,50.83,42.48,50.0,17.4,29.24,44.77,44.77,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
017670,SK텔레콤,unknown,True,,50.83,45.97,50.0,25.51,47.24,46.63,46.63,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
196170,알테오젠,unknown,True,,50.83,12.57,50.0,14.84,5.59,35.55,35.55,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
079550,LIG디펜스앤에어로스페이스,unknown,True,,50.83,22.32,50.0,30.34,65.96,40.02,40.02,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
138040,메리츠금융지주,unknown,True,,50.83,69.89,50.0,25.68,20.73,53.83,53.83,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
033780,KT&G,unknown,True,,50.83,61.06,50.0,57.47,69.52,54.36,54.36,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
011200,HMM,unknown,True,,50.83,83.07,50.0,19.42,17.15,57.15,57.15,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
267250,HD현대,unknown,True,,50.83,66.4,50.0,24.18,22.36,52.63,52.63,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
096770,SK이노베이션,unknown,True,,50.83,65.8,50.0,11.33,10.43,51.16,51.16,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
024110,기업은행,unknown,True,,50.83,89.88,50.0,42.4,20.12,61.49,61.49,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
003670,포스코퓨처엠,unknown,True,,50.83,25.81,50.0,19.19,5.96,39.95,39.95,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
272210,한화시스템,unknown,True,,50.83,36.54,50.0,19.34,43.6,43.19,43.19,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
003550,LG,unknown,True,,50.83,75.66,50.0,18.67,33.91,54.86,54.86,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
307950,현대오토에버,unknown,True,,50.83,24.55,50.0,25.36,48.45,40.19,40.19,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
035720,카카오,unknown,True,,50.83,56.32,50.0,10.0,0.75,48.19,48.19,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
247540,에코프로비엠,unknown,True,,50.83,18.18,50.0,21.77,12.67,37.92,37.92,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
018260,삼성에스디에스,unknown,True,,50.83,63.62,50.0,17.26,27.58,51.1,51.1,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
086520,에코프로,unknown,True,,50.83,41.55,50.0,22.88,16.77,45.04,45.04,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
086280,현대글로비스,unknown,True,,50.83,74.03,50.0,22.02,24.6,54.7,54.7,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
047810,한국항공우주,unknown,True,,50.83,27.71,50.0,24.25,35.78,41.03,41.03,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
278470,에이피알,unknown,True,,50.83,24.06,50.0,30.53,53.29,40.56,40.56,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
000720,현대건설,unknown,True,,50.83,51.69,50.0,23.56,42.48,48.15,48.15,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
030200,KT,unknown,True,,50.83,83.73,50.0,38.3,30.55,59.24,59.24,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
071050,한국금융지주,unknown,True,,50.83,83.13,50.0,25.25,38.3,57.75,57.75,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
006260,LS,unknown,True,,50.83,47.77,50.0,25.72,48.07,47.19,47.19,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
010950,S-Oil,unknown,True,,50.83,46.46,50.0,25.7,39.83,46.8,46.8,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
005940,NH투자증권,unknown,True,,50.83,74.96,50.0,25.1,45.6,55.29,55.29,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
259960,크래프톤,unknown,True,,50.83,69.23,50.0,19.4,14.16,53.0,53.0,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
016360,삼성증권,unknown,True,,50.83,75.12,50.0,25.47,43.46,55.37,55.37,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
